entrance_accessibility,inaccessible_units,accessible_units,percent_accessible,year_built,year_of_replacement,property_type,ward
NA,25,0,0,NA,NA,PRIVATE,14
NO,587,0,0,1971,2006,PRIVATE,19
YES,351,1,0.2840909090909091,1968,2016,TCHC,09
YES,298,1,0.33444816053511706,1964,1999,TCHC,13
YES,718,1,0.13908205841446453,1970,2016,TCHC,13
YES,52,1,1.8867924528301887,1956,2001,TCHC,19
YES,106,20,15.873015873015872,1991,2013,SOCIAL HOUSING,19
YES,369,5,1.3368983957219251,1972,1994,TCHC,07
YES,74,0,0,2010,NA,PRIVATE,17
YES,151,4,2.5806451612903225,2013,NA,TCHC,13
NO,153,0,0,1962,2010,PRIVATE,14
YES,0,155,100,1973,2005,PRIVATE,14
NO,28,0,0,1960,NA,PRIVATE,06
NO,16,0,0,1950,NA,PRIVATE,06
YES,153,11,6.707317073170732,1989,NA,SOCIAL HOUSING,06
NO,16,0,0,1950,NA,PRIVATE,06
NO,12,0,0,1950,NA,PRIVATE,06
YES,59,2,3.278688524590164,1994,NA,SOCIAL HOUSING,06
YES,171,0,0,2006,NA,PRIVATE,09
YES,74,0,0,2008,NA,PRIVATE,09
YES,0,29,100,1958,1990,PRIVATE,06
YES,0,29,100,1958,1990,PRIVATE,06
NO,47,0,0,1960,NA,PRIVATE,03
NO,52,0,0,1960,NA,PRIVATE,03
NO,30,0,0,1960,NA,PRIVATE,04
YES,0,101,100,1965,NA,PRIVATE,05
NO,35,0,0,1960,NA,PRIVATE,13
YES,63,1,1.5625,1958,2012,PRIVATE,16
YES,357,0,0,1965,2006,PRIVATE,15
NO,12,0,0,1967,NA,PRIVATE,03
YES,77,2,2.5316455696202533,2016,NA,PRIVATE,15
NO,96,0,0,1967,NA,PRIVATE,15
NO,10,0,0,1989,NA,SOCIAL HOUSING,13
NO,128,0,0,1971,2011,PRIVATE,02
YES,0,152,100,1965,2012,PRIVATE,14
NO,212,0,0,1964,2008,PRIVATE,14
YES,0,117,100,1965,2001,PRIVATE,06
YES,244,0,0,1967,2011,PRIVATE,06
YES,170,2,1.1627906976744187,1964,NA,PRIVATE,06
YES,60,0,0,1960,NA,PRIVATE,08
YES,11,1,8.333333333333332,1951,NA,PRIVATE,05
NO,11,0,0,1954,NA,PRIVATE,05
YES,11,0,0,1954,NA,PRIVATE,05
NO,97,0,0,1962,2013,PRIVATE,05
YES,65,0,0,1960,NA,PRIVATE,05
YES,252,3,1.1764705882352942,1962,2010,TCHC,03
NO,154,0,0,1962,2019,PRIVATE,15
NO,165,10,5.714285714285714,1996,NA,SOCIAL HOUSING,05
YES,24,0,0,2003,NA,SOCIAL HOUSING,08
YES,43,1,2.272727272727273,1910,NA,PRIVATE,13
YES,0,22,100,1959,NA,PRIVATE,16
NO,27,0,0,1960,NA,PRIVATE,14
NO,20,0,0,1950,NA,PRIVATE,02
YES,191,30,13.574660633484163,2015,NA,PRIVATE,15
NO,284,0,0,1979,2012,PRIVATE,13
NO,28,0,0,1900,NA,PRIVATE,13
NO,71,0,0,1961,2000,PRIVATE,16
NO,336,0,0,1972,2007,PRIVATE,11
YES,124,0,0,1959,2009,PRIVATE,11
NO,24,0,0,1925,NA,PRIVATE,19
NO,327,0,0,1976,2017,PRIVATE,08
NO,554,0,0,1968,2012,PRIVATE,13
NO,12,0,0,1975,NA,PRIVATE,25
NO,234,0,0,1968,2015,PRIVATE,07
YES,318,0,0,1980,2016,PRIVATE,05
YES,247,0,0,1982,2014,SOCIAL HOUSING,23
NO,12,0,0,1956,NA,PRIVATE,05
NO,12,0,0,1970,NA,PRIVATE,05
YES,12,1,7.6923076923076925,1955,NA,TCHC,05
YES,29,1,3.3333333333333335,1957,NA,TCHC,08
YES,30,1,3.225806451612903,1957,NA,TCHC,08
YES,29,2,6.451612903225806,1957,NA,TCHC,08
YES,30,1,3.225806451612903,1957,NA,TCHC,08
YES,34,0,0,1950,NA,PRIVATE,05
YES,85,2,2.2988505747126435,2012,NA,SOCIAL HOUSING,13
YES,205,5,2.380952380952381,1989,2010,TCHC,05
YES,76,1,1.2987012987012987,1975,NA,SOCIAL HOUSING,15
YES,81,1,1.2195121951219512,1955,2015,PRIVATE,15
YES,0,117,100,1965,2009,PRIVATE,06
YES,0,81,100,1963,2017,PRIVATE,06
NO,70,0,0,1962,2015,PRIVATE,06
NO,419,0,0,1971,2013,PRIVATE,05
YES,8,2,20,1945,NA,PRIVATE,05
YES,131,48,26.81564245810056,2017,NA,PRIVATE,12
NO,331,0,0,1962,2017,PRIVATE,16
YES,324,0,0,1971,2011,PRIVATE,19
YES,139,27,16.265060240963855,2021,NA,PRIVATE,11
NO,12,0,0,1960,NA,PRIVATE,19
NO,12,0,0,1960,NA,PRIVATE,19
NA,12,0,0,1952,NA,PRIVATE,19
NO,12,0,0,1959,NA,PRIVATE,19
YES,13,5,27.77777777777778,1960,NA,PRIVATE,19
NO,12,0,0,1958,NA,PRIVATE,19
NO,36,0,0,1955,NA,PRIVATE,14
NO,238,0,0,1982,NA,PRIVATE,20
NO,17,0,0,1950,NA,PRIVATE,20
NO,30,0,0,1968,NA,PRIVATE,20
YES,101,2,1.9417475728155338,1972,NA,PRIVATE,20
NO,10,0,0,1950,NA,PRIVATE,07
NO,10,0,0,1950,NA,PRIVATE,07
NO,274,1,0.36363636363636365,1967,2014,PRIVATE,14
YES,71,2,2.73972602739726,1990,2012,TCHC,10
YES,46,1,2.127659574468085,2006,NA,TCHC,13
YES,69,2,2.8169014084507045,1948,1999,TCHC,13
YES,0,287,100,1964,NA,PRIVATE,15
YES,9,323,97.28915662650603,1967,2017,PRIVATE,15
YES,215,4,1.82648401826484,1988,NA,TCHC,15
NO,47,0,0,1970,NA,PRIVATE,08
YES,102,0,0,1965,2012,PRIVATE,08
NO,11,0,0,1957,NA,PRIVATE,08
NO,68,0,0,1950,2012,PRIVATE,08
NO,10,0,0,1950,NA,SOCIAL HOUSING,06
NO,63,0,0,1961,NA,PRIVATE,05
NO,17,0,0,1965,NA,PRIVATE,05
NO,188,0,0,1968,2013,PRIVATE,05
NO,128,2,1.5384615384615385,1960,2011,PRIVATE,05
NO,128,2,1.5384615384615385,1960,2011,PRIVATE,05
YES,165,9,5.172413793103448,1986,2015,SOCIAL HOUSING,12
YES,286,75,20.77562326869806,2020,NA,PRIVATE,18
NO,185,0,0,1967,2005,PRIVATE,12
NO,131,0,0,1965,2006,PRIVATE,11
NO,246,0,0,1970,2012,PRIVATE,19
NO,19,0,0,1950,NA,PRIVATE,09
YES,217,58,21.09090909090909,2020,NA,PRIVATE,11
NO,329,0,0,1972,2017,PRIVATE,20
NO,280,0,0,1972,2016,PRIVATE,20
NA,12,0,0,1954,NA,PRIVATE,20
NO,11,0,0,1956,NA,PRIVATE,20
YES,0,223,100,1974,NA,PRIVATE,07
YES,203,1,0.49019607843137253,1967,2013,PRIVATE,07
NO,109,0,0,1970,NA,PRIVATE,07
NO,11,0,0,1953,NA,PRIVATE,05
YES,219,2,0.904977375565611,1967,1994,TCHC,01
NO,327,0,0,1972,2014,PRIVATE,13
NO,101,0,0,1962,2019,PRIVATE,15
NO,44,0,0,1964,2017,PRIVATE,06
NO,306,0,0,2003,NA,PRIVATE,18
YES,104,9,7.964601769911504,1970,2009,PRIVATE,19
NO,148,0,0,1966,2013,PRIVATE,03
NO,274,1,0.36363636363636365,1967,2014,PRIVATE,14
YES,218,2,0.9090909090909091,2006,NA,TCHC,13
NO,62,0,0,1960,2013,PRIVATE,15
NO,15,0,0,1947,NA,PRIVATE,15
NO,19,0,0,1960,NA,PRIVATE,08
NO,20,0,0,1960,NA,PRIVATE,08
NO,33,0,0,1961,NA,PRIVATE,05
NO,10,0,0,1973,NA,PRIVATE,07
YES,0,262,100,1972,NA,PRIVATE,07
NO,164,0,0,1970,2010,PRIVATE,07
NO,117,0,0,1959,2005,PRIVATE,07
YES,136,0,0,1970,2006,PRIVATE,15
NO,54,0,0,1965,NA,PRIVATE,15
NO,138,0,0,1970,2002,PRIVATE,15
YES,14,6,30,1968,NA,PRIVATE,18
YES,15,1,6.25,1992,NA,SOCIAL HOUSING,18
NO,24,0,0,1959,NA,PRIVATE,03
NO,45,0,0,1956,NA,PRIVATE,03
NO,10,0,0,1950,NA,PRIVATE,20
NO,154,0,0,1970,2000,PRIVATE,06
YES,473,6,1.2526096033402923,1979,2007,PRIVATE,11
NO,140,0,0,1971,2006,PRIVATE,02
NO,27,0,0,1944,NA,PRIVATE,04
NO,107,0,0,1964,NA,PRIVATE,05
YES,244,0,0,1963,2004,PRIVATE,13
NO,5,6,54.54545454545454,1960,NA,PRIVATE,20
YES,0,201,100,1967,2006,PRIVATE,20
NO,38,0,0,1950,NA,PRIVATE,15
NO,14,0,0,1950,NA,PRIVATE,15
NO,13,0,0,1956,NA,PRIVATE,15
NO,12,0,0,1954,NA,PRIVATE,15
NO,21,0,0,1954,NA,PRIVATE,15
NO,43,0,0,1950,NA,PRIVATE,15
NO,18,0,0,1954,NA,PRIVATE,15
NO,112,0,0,1965,2008,PRIVATE,15
NO,416,0,0,1967,2012,PRIVATE,18
YES,80,1,1.2345679012345678,1996,NA,SOCIAL HOUSING,18
NO,75,0,0,1965,1995,PRIVATE,04
NO,74,0,0,1960,2007,PRIVATE,03
NO,85,0,0,1967,2011,PRIVATE,03
YES,196,2,1.0101010101010102,1975,2013,PRIVATE,07
YES,0,170,100,1960,2006,PRIVATE,18
NO,214,0,0,1968,2014,PRIVATE,18
YES,137,0,0,1970,2006,PRIVATE,15
YES,137,0,0,1970,2006,PRIVATE,15
YES,119,0,0,1963,NA,PRIVATE,15
NO,25,0,0,1947,NA,PRIVATE,03
NO,10,0,0,1960,NA,PRIVATE,03
YES,35,1,2.7777777777777777,1968,2010,PRIVATE,03
NO,11,0,0,1950,NA,PRIVATE,20
YES,158,4,2.4691358024691357,1973,2000,TCHC,01
YES,167,1,0.5952380952380952,1970,NA,PRIVATE,17
NO,11,0,0,1953,NA,PRIVATE,05
NO,30,0,0,1956,NA,PRIVATE,21
NO,30,0,0,1955,NA,PRIVATE,21
NO,30,0,0,1955,NA,PRIVATE,21
NO,304,0,0,1968,2017,PRIVATE,05
YES,158,4,2.4691358024691357,1973,2000,TCHC,01
YES,13,1,7.142857142857142,1970,NA,TCHC,02
YES,262,1,0.38022813688212925,1965,2010,PRIVATE,16
YES,126,2,1.5625,1989,NA,TCHC,19
NO,12,0,0,1970,NA,PRIVATE,11
NO,16,0,0,1954,NA,PRIVATE,20
NO,131,0,0,1969,2015,PRIVATE,20
YES,11,0,0,1971,NA,PRIVATE,20
NO,13,0,0,1960,NA,PRIVATE,20
NO,10,0,0,1939,NA,PRIVATE,15
NO,49,0,0,1962,2012,PRIVATE,15
NO,50,0,0,1965,2007,PRIVATE,15
NO,24,0,0,1945,NA,PRIVATE,15
NO,37,0,0,1961,NA,PRIVATE,15
NO,20,0,0,1911,NA,PRIVATE,15
YES,112,0,0,1966,2000,PRIVATE,06
NO,32,0,0,1960,NA,PRIVATE,21
NO,30,0,0,1955,NA,PRIVATE,21
NO,90,0,0,1966,2009,PRIVATE,07
NO,57,0,0,1963,NA,PRIVATE,07
YES,0,148,100,1960,2009,PRIVATE,07
YES,0,278,100,1968,2003,PRIVATE,16
YES,68,1,1.4492753623188406,1962,2001,PRIVATE,16
NO,40,0,0,1960,2006,PRIVATE,16
YES,39,0,0,1952,NA,PRIVATE,03
NO,27,0,0,1952,NA,PRIVATE,03
NO,32,0,0,1954,2005,PRIVATE,03
NO,19,0,0,1958,NA,PRIVATE,03
NO,23,0,0,1957,NA,PRIVATE,03
NO,12,0,0,1910,NA,PRIVATE,13
NO,71,0,0,1954,NA,PRIVATE,14
YES,218,0,0,1969,2012,PRIVATE,04
NO,30,0,0,1962,NA,PRIVATE,20
NO,39,0,0,1957,2021,PRIVATE,03
NO,23,0,0,1962,NA,PRIVATE,03
YES,17,5,22.727272727272727,1951,NA,PRIVATE,03
YES,278,0,0,2007,NA,PRIVATE,03
YES,163,4,2.3952095808383236,2001,NA,TCHC,14
NO,11,0,0,1956,NA,PRIVATE,05
YES,37,3,7.5,1960,NA,SOCIAL HOUSING,08
NO,19,0,0,1925,NA,PRIVATE,12
NA,22,0,0,1937,NA,PRIVATE,08
YES,5,220,97.77777777777777,1973,NA,PRIVATE,11
NO,61,0,0,1959,NA,PRIVATE,20
NO,49,0,0,1965,2015,PRIVATE,12
YES,149,1,0.6666666666666667,1983,2005,TCHC,10
YES,43,3,6.521739130434782,1991,2017,SOCIAL HOUSING,10
NO,48,0,0,1960,2005,PRIVATE,12
NO,31,0,0,1950,NA,PRIVATE,12
NO,25,0,0,1957,NA,PRIVATE,08
NO,85,0,0,1962,NA,PRIVATE,21
NO,167,0,0,1969,NA,PRIVATE,07
YES,97,0,0,1973,NA,PRIVATE,07
NO,163,0,0,1967,1994,PRIVATE,07
YES,0,133,100,1965,2013,PRIVATE,07
NO,217,0,0,1976,2002,PRIVATE,16
YES,69,1,1.4285714285714286,1966,NA,PRIVATE,16
YES,61,0,0,1959,2001,PRIVATE,16
YES,75,1,1.3157894736842104,1963,2001,PRIVATE,16
NO,40,0,0,1960,2006,PRIVATE,16
NO,35,0,0,1958,NA,PRIVATE,03
NO,60,0,0,1955,2017,PRIVATE,03
NO,34,0,0,1954,NA,PRIVATE,03
NO,27,0,0,1957,NA,PRIVATE,03
NO,30,0,0,1955,NA,PRIVATE,03
NO,22,0,0,1956,NA,PRIVATE,03
NO,16,0,0,1950,NA,PRIVATE,03
YES,0,117,100,1962,1993,PRIVATE,06
YES,88,2,2.2222222222222223,1982,NA,SOCIAL HOUSING,18
NO,40,0,0,1968,NA,PRIVATE,05
YES,197,11,5.288461538461538,1990,2004,SOCIAL HOUSING,04
NO,29,0,0,1959,2021,PRIVATE,04
NO,22,0,0,1954,NA,PRIVATE,03
YES,0,24,100,1962,NA,PRIVATE,03
YES,21,0,0,1955,NA,PRIVATE,03
NO,133,0,0,1960,2004,PRIVATE,03
NO,133,0,0,1960,2004,PRIVATE,03
NO,248,0,0,1966,NA,PRIVATE,16
YES,37,1,2.631578947368421,1940,2016,PRIVATE,15
YES,263,0,0,1976,2013,PRIVATE,22
YES,100,2,1.9607843137254901,1993,NA,TCHC,13
YES,0,117,100,1962,1993,PRIVATE,06
NO,65,0,0,1961,2011,PRIVATE,20
NO,93,0,0,1961,2009,PRIVATE,05
NO,11,0,0,1953,NA,PRIVATE,05
NO,12,0,0,1954,NA,PRIVATE,05
YES,216,0,0,1967,2016,PRIVATE,17
NO,45,0,0,1940,NA,PRIVATE,03
YES,1,55,98.21428571428571,1968,NA,PRIVATE,03
NO,26,0,0,1962,NA,PRIVATE,02
NO,34,0,0,1955,NA,PRIVATE,02
NO,105,0,0,1971,2010,PRIVATE,02
NO,84,0,0,1964,2006,PRIVATE,21
YES,196,5,2.4875621890547266,1971,1997,TCHC,22
NO,28,0,0,1992,NA,SOCIAL HOUSING,25
NO,180,0,0,1975,NA,PRIVATE,25
NO,130,0,0,1960,2022,PRIVATE,01
YES,10,1,9.090909090909092,1993,NA,TCHC,10
YES,26,2,7.142857142857142,1885,NA,SOCIAL HOUSING,11
YES,15,1,6.25,1988,NA,PRIVATE,11
YES,70,0,0,1959,NA,PRIVATE,08
NO,31,0,0,1953,2014,PRIVATE,08
YES,0,83,100,1976,2006,PRIVATE,08
YES,0,241,100,1973,2005,PRIVATE,13
NO,11,0,0,1920,NA,PRIVATE,13
NO,33,0,0,1940,NA,PRIVATE,12
NO,18,0,0,1930,NA,PRIVATE,12
YES,12,1,7.6923076923076925,1961,NA,PRIVATE,08
NO,109,0,0,1952,NA,PRIVATE,08
NO,458,0,0,1974,NA,PRIVATE,08
NO,25,0,0,1988,NA,SOCIAL HOUSING,13
YES,64,2,3.0303030303030303,1959,2017,PRIVATE,19
YES,209,3,1.4150943396226416,1991,2014,TCHC,13
NO,83,0,0,1950,NA,PRIVATE,19
NO,26,0,0,1955,NA,PRIVATE,03
NO,24,0,0,1905,NA,PRIVATE,11
NO,16,0,0,1952,NA,PRIVATE,20
NO,181,0,0,1969,2009,PRIVATE,06
NO,11,0,0,1895,NA,PRIVATE,11
NO,186,0,0,1965,2010,PRIVATE,20
YES,107,0,0,1960,2008,PRIVATE,20
NO,187,0,0,1959,2003,PRIVATE,05
NO,52,0,0,1961,NA,PRIVATE,05
NO,42,0,0,1967,NA,PRIVATE,05
NO,47,0,0,1961,2016,PRIVATE,05
NO,19,0,0,1960,2004,PRIVATE,05
NO,12,0,0,1953,NA,PRIVATE,05
NO,40,0,0,1950,2015,PRIVATE,16
NO,40,6,13.043478260869565,1950,NA,PRIVATE,16
NO,77,0,0,1954,2017,PRIVATE,16
YES,63,2,3.076923076923077,1958,2012,PRIVATE,16
YES,128,0,0,1968,2004,PRIVATE,17
NO,48,0,0,1920,NA,PRIVATE,19
NO,275,0,0,1974,2017,PRIVATE,09
NO,16,0,0,1957,NA,PRIVATE,09
YES,42,2,4.545454545454546,1993,NA,SOCIAL HOUSING,09
YES,117,2,1.680672268907563,1987,NA,TCHC,10
NO,16,0,0,1923,NA,PRIVATE,19
NO,19,0,0,1927,NA,PRIVATE,19
NO,48,0,0,1960,NA,PRIVATE,19
YES,106,2,1.8518518518518516,1992,NA,TCHC,19
NO,27,0,0,1911,NA,PRIVATE,09
NO,72,0,0,1929,NA,PRIVATE,11
NO,31,0,0,1925,NA,PRIVATE,09
NO,43,0,0,1930,NA,PRIVATE,09
NA,11,0,0,1926,NA,PRIVATE,09
NO,28,0,0,1955,NA,PRIVATE,11
NO,37,0,0,1980,NA,PRIVATE,11
NO,25,0,0,1986,2011,PRIVATE,11
NO,11,0,0,1951,NA,PRIVATE,06
NO,11,0,0,1955,NA,PRIVATE,06
NO,11,0,0,1954,NA,PRIVATE,06
YES,104,1,0.9523809523809524,1978,2004,TCHC,11
YES,39,2,4.878048780487805,1965,1996,TCHC,19
NO,14,0,0,1955,NA,PRIVATE,03
NO,11,0,0,1950,NA,PRIVATE,16
NO,56,0,0,1964,2009,PRIVATE,16
YES,130,9,6.474820143884892,1970,2009,PRIVATE,19
NO,22,0,0,1954,NA,PRIVATE,03
YES,416,3,0.7159904534606205,1972,1994,TCHC,24
YES,55,2,3.508771929824561,1950,NA,PRIVATE,14
YES,15,2,11.76470588235294,1950,NA,PRIVATE,14
YES,30,4,11.76470588235294,1955,NA,PRIVATE,14
YES,26,0,0,1950,NA,PRIVATE,14
YES,58,0,0,1960,2008,PRIVATE,06
NO,17,0,0,1955,NA,PRIVATE,06
NO,33,0,0,1958,NA,PRIVATE,14
NO,81,0,0,1961,2015,PRIVATE,14
NO,27,0,0,1958,NA,PRIVATE,14
NO,38,0,0,1955,NA,PRIVATE,14
YES,372,0,0,1979,2011,PRIVATE,06
YES,0,143,100,1969,2015,PRIVATE,06
YES,0,71,100,1961,2011,PRIVATE,06
YES,69,0,0,1965,NA,PRIVATE,06
NO,26,0,0,1960,NA,PRIVATE,05
NO,17,0,0,1958,NA,PRIVATE,05
NO,40,0,0,1954,NA,PRIVATE,05
NO,10,0,0,1955,NA,PRIVATE,05
YES,112,0,0,1970,NA,PRIVATE,05
NO,103,0,0,1964,NA,PRIVATE,15
YES,48,14,22.58064516129032,2013,NA,PRIVATE,16
YES,0,474,100,1966,NA,PRIVATE,15
NO,22,0,0,1955,NA,PRIVATE,08
NO,63,0,0,1970,2009,PRIVATE,02
YES,0,63,100,1962,2000,PRIVATE,02
NO,10,0,0,1910,NA,PRIVATE,03
YES,75,5,6.25,1996,NA,SOCIAL HOUSING,14
YES,323,4,1.2232415902140672,1969,2016,TCHC,13
NO,14,0,0,1992,NA,SOCIAL HOUSING,25
YES,221,0,0,1965,2015,PRIVATE,04
NO,22,0,0,1977,NA,PRIVATE,02
YES,0,26,100,1960,NA,PRIVATE,21
YES,14,76,84.44444444444444,1962,NA,PRIVATE,05
NO,34,0,0,1958,NA,PRIVATE,05
YES,12,0,0,1950,NA,PRIVATE,05
NO,12,0,0,1960,NA,PRIVATE,06
NO,11,0,0,1953,NA,PRIVATE,06
NO,60,0,0,1964,2016,PRIVATE,16
YES,0,59,100,1960,2011,PRIVATE,16
NO,62,0,0,1960,2017,PRIVATE,16
YES,5,34,87.17948717948718,1960,2016,PRIVATE,12
NO,18,0,0,1919,NA,PRIVATE,11
NO,33,0,0,1961,NA,PRIVATE,11
NO,24,0,0,1920,NA,PRIVATE,11
YES,0,62,100,2004,2011,PRIVATE,11
NO,32,0,0,1955,NA,PRIVATE,15
NO,18,0,0,1965,NA,PRIVATE,15
YES,85,0,0,1967,2011,PRIVATE,11
YES,39,2,4.878048780487805,1937,2000,TCHC,15
NO,32,0,0,1928,NA,PRIVATE,15
NO,30,0,0,1952,NA,PRIVATE,15
NO,118,0,0,1956,2008,PRIVATE,12
NO,15,0,0,1916,NA,SOCIAL HOUSING,12
NO,12,0,0,1920,NA,PRIVATE,12
NO,57,0,0,1955,2008,PRIVATE,12
NO,60,0,0,1982,2016,PRIVATE,12
NO,13,0,0,1918,NA,PRIVATE,12
NO,11,0,0,1950,NA,PRIVATE,03
NO,13,0,0,1950,NA,PRIVATE,06
YES,0,50,100,1960,NA,PRIVATE,06
YES,38,2,5,1989,2014,TCHC,06
YES,78,1,1.2658227848101267,1993,NA,TCHC,06
NO,133,0,0,1964,2012,PRIVATE,06
NO,35,0,0,1958,NA,PRIVATE,05
YES,30,1,3.225806451612903,1957,NA,TCHC,08
NO,47,0,0,1951,NA,PRIVATE,03
NO,47,0,0,1951,NA,PRIVATE,03
NO,325,0,0,1967,2010,PRIVATE,16
YES,0,48,100,1955,NA,PRIVATE,14
NO,26,0,0,1965,NA,PRIVATE,14
YES,128,0,0,1964,2014,PRIVATE,06
NA,24,0,0,1958,NA,PRIVATE,06
YES,174,0,0,1964,2002,PRIVATE,06
NO,10,0,0,1954,NA,PRIVATE,05
NO,14,0,0,1940,NA,PRIVATE,05
YES,35,6,14.634146341463413,1965,NA,PRIVATE,05
NO,61,0,0,1960,2016,PRIVATE,08
NO,46,0,0,1955,NA,PRIVATE,08
NO,33,0,0,1955,NA,PRIVATE,08
NO,11,0,0,1958,NA,PRIVATE,06
NO,12,0,0,1956,NA,PRIVATE,05
NO,18,0,0,1957,NA,PRIVATE,05
YES,272,3,1.090909090909091,1979,2004,TCHC,05
YES,92,0,0,1976,NA,PRIVATE,20
YES,247,0,0,1967,2013,PRIVATE,06
NO,218,0,0,1968,NA,PRIVATE,07
YES,87,1,1.1363636363636365,1959,2007,PRIVATE,03
YES,11,0,0,1971,NA,PRIVATE,20
YES,217,0,0,1963,2004,PRIVATE,13
YES,11,0,0,1971,NA,PRIVATE,20
YES,44,2,4.3478260869565215,1954,NA,PRIVATE,20
NO,12,0,0,1960,NA,PRIVATE,15
NO,237,0,0,1959,NA,PRIVATE,06
YES,111,1,0.8928571428571428,1987,2016,SOCIAL HOUSING,16
NO,122,0,0,1968,2016,PRIVATE,02
NO,95,0,0,1969,2008,PRIVATE,02
NO,181,0,0,1967,2016,PRIVATE,02
NO,17,0,0,1970,NA,PRIVATE,02
NO,34,0,0,1952,NA,PRIVATE,03
NO,21,0,0,1992,NA,SOCIAL HOUSING,25
YES,225,0,0,1965,2015,PRIVATE,21
YES,66,0,0,1963,NA,PRIVATE,21
NO,207,0,0,1965,2002,PRIVATE,21
YES,250,0,0,1964,2010,PRIVATE,21
NO,53,0,0,1968,2014,PRIVATE,20
NO,16,0,0,1953,NA,PRIVATE,06
NO,23,0,0,1960,NA,PRIVATE,06
NO,80,0,0,1968,2018,PRIVATE,06
NO,42,0,0,1960,NA,PRIVATE,06
NO,40,0,0,1971,NA,PRIVATE,06
NO,44,0,0,1954,2018,PRIVATE,03
YES,0,64,100,2016,NA,PRIVATE,19
NO,11,0,0,1949,NA,PRIVATE,06
NO,15,0,0,1954,NA,PRIVATE,20
NO,15,0,0,1925,NA,PRIVATE,19
YES,466,0,0,2019,NA,PRIVATE,12
NO,12,0,0,1950,NA,PRIVATE,19
NO,17,0,0,1952,NA,PRIVATE,11
YES,49,1,2,1980,NA,TCHC,13
NO,38,0,0,1959,NA,PRIVATE,03
NO,6,5,45.45454545454545,1890,NA,PRIVATE,11
NO,58,0,0,1972,NA,PRIVATE,07
YES,53,8,13.114754098360656,2022,2022,PRIVATE,11
NO,16,0,0,1960,NA,PRIVATE,12
NO,10,0,0,1913,NA,PRIVATE,11
YES,131,0,0,2021,NA,PRIVATE,04
NO,10,0,0,1983,NA,PRIVATE,03
NO,52,0,0,1968,NA,PRIVATE,05
NO,104,0,0,1964,NA,PRIVATE,15
YES,297,3,1,1981,2003,TCHC,12
YES,190,20,9.523809523809524,2012,NA,PRIVATE,22
YES,216,0,0,1969,2009,PRIVATE,11
YES,70,2,2.7777777777777777,2008,NA,PRIVATE,15
NO,76,0,0,1960,2015,PRIVATE,15
NO,86,0,0,1960,2013,PRIVATE,15
YES,0,380,100,1965,NA,PRIVATE,15
NO,90,0,0,1964,2013,PRIVATE,15
NO,70,0,0,1959,NA,PRIVATE,15
YES,58,2,3.3333333333333335,1958,2013,PRIVATE,15
NO,60,0,0,1962,2016,PRIVATE,15
YES,0,333,100,1960,NA,PRIVATE,16
YES,64,0,0,1950,2012,PRIVATE,08
YES,0,50,100,1960,2006,PRIVATE,06
NO,17,0,0,1958,NA,PRIVATE,18
NO,32,0,0,NA,NA,PRIVATE,18
NO,25,0,0,1950,NA,SOCIAL HOUSING,04
NO,17,0,0,1958,NA,PRIVATE,04
YES,74,2,2.631578947368421,1982,NA,SOCIAL HOUSING,03
NO,30,0,0,1970,NA,SOCIAL HOUSING,19
YES,89,0,0,2005,NA,PRIVATE,08
YES,22,2,8.333333333333332,1966,NA,PRIVATE,03
YES,233,0,0,1973,2008,PRIVATE,02
NO,18,0,0,1955,NA,PRIVATE,04
YES,214,0,0,1967,2023,PRIVATE,05
NO,49,0,0,1953,NA,PRIVATE,05
YES,0,34,100,1971,NA,PRIVATE,20
NO,36,0,0,1955,NA,PRIVATE,20
YES,11,0,0,1971,NA,PRIVATE,20
YES,195,1,0.5102040816326531,1979,2014,TCHC,10
YES,49,1,2,1990,NA,TCHC,13
NO,32,0,0,1937,NA,PRIVATE,12
NO,36,0,0,1960,NA,PRIVATE,06
YES,111,0,0,1962,2005,PRIVATE,16
NO,87,0,0,1965,2010,PRIVATE,16
NO,122,0,0,1972,2015,PRIVATE,02
NO,52,0,0,1955,NA,PRIVATE,01
YES,232,5,2.109704641350211,1984,2012,TCHC,01
NO,45,0,0,1967,NA,PRIVATE,01
YES,145,0,0,1967,2014,PRIVATE,12
NO,34,0,0,1960,NA,PRIVATE,03
NO,37,0,0,1953,NA,PRIVATE,19
YES,296,4,1.3333333333333335,1964,2016,TCHC,13
YES,187,3,1.5789473684210527,1969,2001,TCHC,14
YES,110,23,17.293233082706767,1992,NA,SOCIAL HOUSING,24
YES,0,74,100,1960,2015,PRIVATE,24
YES,0,41,100,1962,NA,PRIVATE,06
NO,30,0,0,1959,NA,PRIVATE,06
YES,15,4,21.052631578947366,NA,NA,SOCIAL HOUSING,19
NO,12,0,0,1951,NA,PRIVATE,19
NO,12,0,0,1960,NA,PRIVATE,19
NO,10,0,0,1953,NA,PRIVATE,05
YES,78,0,0,2018,NA,PRIVATE,13
YES,75,3,3.8461538461538463,2021,NA,SOCIAL HOUSING,YY
NO,15,0,0,2004,NA,PRIVATE,14
YES,182,51,21.888412017167383,2023,NA,PRIVATE,03
NO,12,0,0,1952,NA,PRIVATE,14
YES,254,1,0.39215686274509803,1962,2017,TCHC,03
NO,11,0,0,1945,NA,PRIVATE,18
NO,20,0,0,1927,NA,PRIVATE,19
NO,12,0,0,1952,NA,PRIVATE,19
NO,195,0,0,1981,2009,PRIVATE,02
